Event Name,Artist,with / opener,Host,Promoter,Offerings,Date,Time,Venue name,Address,City,State,Ticket Price,Ticket Link,All ages,21+,Thumbnail
Jazz Festivel,Jessie Grace & Allen George,-,Eastern Music Park,Alex Music,-,Aug-22,7:30 pm,Eastern Music Park,Eastern Music Park,-,-,-,www.yourwebsite.com,-,-,-
Newport Jazz Festival/New York 1954-1978/25 Summers of Jazz,-,-,-,-,-,June 23 - July 2,-,-,-,Newport,-,-,-,-,-,-
19.00 Music Festival ,-,-,-,Company Name,-,26/05/2019,-,-,"London, Ave, 197 St",London,-,-,-,-,-,-
The Mull Music Festival,Trail West Peat & Diesel A'Hooligan ,Heron Valley Beinn Lee Gunna Sound Crooked Reel Chunks The Fold Dun Mor Ruairidh Maclean and Horo,Macgochans,-,-,April 25 - April 28 2019,-,Macgochans,"Macgochans, Tobermory, Isle of Mull",-,-,-,-,-,-,-
HKGNA Music Festival 2021,Jing Wang,Chris Choi Ashley Chui Ian Mok Zheng Yang Wong Sze Yuen Nan Jia,-,Hong Kong Generation Next Arts,-,Nov 7 2021,7:30 pm,-,-,-,-,$200,-,-,-,-
Greenville Country Music Fest,Jon Langston Dirty Glass Soul Conner Sweeny DJ Slim McGraw,Dirty Glass Soul Conner Sweeny DJ Slim McGraw,CCNB Amphitheatre,-,Kanga Coolers,Oct-14,-,CCNB Amphitheatre,CCNB Amphitheatre,-,-,-,-,-,-,-
Life is Beautiful,Billie Eilish Green Day Tame Impala,Green Day Tame Impala,-,-,-,Sept 17-19,-,-,-,Las Vegas,-,-,-,-,-,-
Nannup Music Festival,-,-,-,-,Music Camping Street Markets Poetry Workshops Jamming Kids Area Art Walk River Trails Delicious Food Stalls Buskers,1-4 Mar 2019,-,-,-,-,-,-,nannupmusicfestival.org,-,-,-
Carnival Festival,-,-,-,-,Live Music & Free Parking,3.19.20,-,-,"Street Location, City, State",-,-,-,www.yourwebsite.com,-,-,-
Bearded Theory's Spring Gathering,The Flaming Lips,Patti Smith and Band,Catton Hall,-,award winning pub price bars world food theatre comedy onsite cinema circus clean toilets free hot showers idyllic setting glamping options disabled facilities victorian fun fair,21-24 May,-,Catton Hall,"Catton Hall, Derbyshire",Derbyshire,-,-,beardedtheory.co.uk,-,-,-
Electric Forest,-,-,-,-,-,June 23-26 2016,-,-,"Rothbury, Michigan",-,Michigan,-,-,-,-,-
St Patrick's Day Big Lucky Party,-,-,-,-,Live Music Free Prizes Open Bar Giveaways,17-Mar,8:00 pm,-,"123 Anywhere St, Any City",Any City,-,-,-,-,-,-
